# GX (Channel Output Probability) Table
# Parameters: Pi=0.004000 Pd=0.004000 Ps=0.004000 Pt=0.992000
# Nu=6 Q=18 Nu2min=3 Nu2max=9
# Format: ly binary(y) xi probability
ly	binary(y)	xi	probability
4	1111	12	1.866851448986e-07
4	1111	13	1.866851448986e-07
4	1111	14	1.866851448986e-07
4	1111	15	1.866851448986e-07
4	1111	16	1.866851448986e-07
4	1111	17	1.866851448986e-07
5	00000	0	1.852065387610e-07
5	00000	1	1.852065387610e-07
5	00000	2	1.852065387610e-07
5	00000	3	1.852065387610e-07
5	00000	4	1.852065387610e-07
5	00000	5	1.852065387610e-07
5	00000	6	1.852065387610e-07
5	00000	7	1.852065387610e-07
5	00000	8	1.852065387610e-07
5	00000	9	1.852065387610e-07
5	00000	10	1.852065387610e-07
5	00000	11	1.852065387610e-07
5	00000	12	1.852065387610e-07
5	00000	13	1.852065387610e-07
5	00000	14	1.852065387610e-07
5	00000	15	1.852065387610e-07
5	00000	16	1.852065387610e-07
5	00000	17	1.852065387610e-07
5	00001	0	4.593172938012e-05
5	00001	1	3.062132317550e-05
5	00001	2	6.297512992123e-08
5	00001	3	4.593172837649e-05
5	00001	4	3.062132217187e-05
5	00001	5	6.297412628647e-08
5	00001	6	3.062082733989e-05
5	00001	7	6.247929430427e-08
5	00001	8	7.448010131385e-10
5	00001	9	4.593172837649e-05
5	00001	10	3.062132217187e-05
5	00001	11	6.297412628647e-08
5	00001	12	3.062082733989e-05
5	00001	13	6.247929430427e-08
5	00001	14	7.448010131385e-10
5	00001	15	3.062082733985e-05
5	00001	16	6.247929427208e-08
5	00001	17	7.448009809572e-10
5	00010	0	1.543412715162e-05
5	00010	1	1.543461602569e-05
5	00010	2	4.593049178240e-05
5	00010	3	1.531042413827e-05
5	00010	4	1.531091301234e-05
5	00010	5	4.580678876905e-05
5	00010	6	1.492505065519e-09
5	00010	7	3.049736826178e-05
5	00010	8	1.237219265001e-07
5	00010	9	1.531042413024e-05
5	00010	10	1.531091300431e-05
5	00010	11	4.580678876103e-05
5	00010	12	1.492497036312e-09
5	00010	13	3.049736825375e-05
5	00010	14	1.237219184709e-07
5	00010	15	9.956897889542e-10
5	00010	16	3.049687144650e-05
5	00010	17	1.232251112235e-07
5	00011	0	3.812540796164e-03
5	00011	1	1.574179116076e-05
5	00011	2	1.567931688864e-05
5	00011	3	3.812294866672e-03
5	00011	4	1.549586166879e-05
5	00011	5	1.543338739667e-05
5	00011	6	1.859453379088e-07
5	00011	7	1.234710657940e-07
5	00011	8	7.457887173639e-10
5	00011	9	3.812294866664e-03
5	00011	10	1.549586166076e-05
5	00011	11	1.543338738865e-05
