# GXNew Probability Table: P(y|x,e)
# Format: Nu2 binary(y) binary(xi) error_state probability
# error_state: 0=Match, 1=Insertion, 2=Deletion, 3=Substitution
Nu2	binary(y)	binary(xi)	error_state	probability
3	100	011100	2	2.550113e-08
3	100	011100	3	2.550113e-08
3	100	100011	0	0.000000e+00
3	100	100011	1	0.000000e+00
3	100	100011	2	0.000000e+00
3	100	100011	3	0.000000e+00
3	100	100101	0	0.000000e+00
3	100	100101	1	0.000000e+00
3	100	100101	2	0.000000e+00
3	100	100101	3	0.000000e+00
3	100	100110	0	1.501330e-07
3	100	100110	1	2.144757e-08
3	100	100110	2	2.144757e-08
3	100	100110	3	2.144757e-08
3	100	101001	0	0.000000e+00
3	100	101001	1	0.000000e+00
3	100	101001	2	0.000000e+00
3	100	101001	3	0.000000e+00
3	100	101010	0	1.786121e-07
3	100	101010	1	2.551602e-08
3	100	101010	2	2.551602e-08
3	100	101010	3	2.551602e-08
3	100	101100	0	3.908884e-07
3	100	101100	1	5.584120e-08
3	100	101100	2	5.584120e-08
3	100	101100	3	5.584120e-08
3	100	110001	0	0.000000e+00
3	100	110001	1	0.000000e+00
3	100	110001	2	0.000000e+00
3	100	110001	3	0.000000e+00
3	100	110010	0	9.383341e-08
3	100	110010	1	1.340477e-08
3	100	110010	2	1.340477e-08
3	100	110010	3	1.340477e-08
3	100	110100	0	3.278757e-07
3	100	110100	1	4.683939e-08
3	100	110100	2	4.683939e-08
3	100	110100	3	4.683939e-08
3	101	001011	0	2.916907e-08
3	101	001011	1	4.167010e-09
3	101	001011	2	4.167010e-09
3	101	001011	3	4.167010e-09
3	101	001101	0	1.500581e-07
3	101	001101	1	2.143687e-08
3	101	001101	2	2.143687e-08
3	101	001101	3	2.143687e-08
3	101	001110	0	0.000000e+00
3	101	001110	1	0.000000e+00
3	101	001110	2	0.000000e+00
3	101	001110	3	0.000000e+00
3	101	010011	0	3.588192e-08
3	101	010011	1	5.125989e-09
3	101	010011	2	5.125989e-09
3	101	010011	3	5.125989e-09
3	101	010101	0	1.785369e-07
3	101	010101	1	2.550527e-08
3	101	010101	2	2.550527e-08
3	101	010101	3	2.550527e-08
3	101	010110	0	0.000000e+00
3	101	010110	1	0.000000e+00
3	101	010110	2	0.000000e+00
3	101	010110	3	0.000000e+00
3	101	011001	0	9.380426e-08
3	101	011001	1	1.340061e-08
3	101	011001	2	1.340061e-08
3	101	011001	3	1.340061e-08
3	101	011010	0	0.000000e+00
3	101	011010	1	0.000000e+00
3	101	011010	2	0.000000e+00
3	101	011010	3	0.000000e+00
3	101	011100	0	0.000000e+00
3	101	011100	1	0.000000e+00
3	101	011100	2	0.000000e+00
3	101	011100	3	0.000000e+00
3	101	100011	0	1.785975e-07
3	101	100011	1	2.551393e-08
3	101	100011	2	2.551393e-08
3	101	100011	3	2.551393e-08
3	101	100101	0	3.909028e-07
3	101	100101	1	5.584326e-08
3	101	100101	2	5.584326e-08
3	101	100101	3	5.584326e-08
3	101	100110	0	0.000000e+00
3	101	100110	1	0.000000e+00
3	101	100110	2	0.000000e+00
3	101	100110	3	0.000000e+00
3	101	101001	0	3.279362e-07
3	101	101001	1	4.684802e-08
3	101	101001	2	4.684802e-08
3	101	101001	3	4.684802e-08
3	101	101010	0	0.000000e+00
3	101	101010	1	0.000000e+00
3	101	101010	2	0.000000e+00
3	101	101010	3	0.000000e+00
3	101	101100	0	0.000000e+00
3	101	101100	1	0.000000e+00
3	101	101100	2	0.000000e+00
3	101	101100	3	0.000000e+00
3	101	110001	0	2.431575e-07
3	101	110001	1	3.473678e-08
3	101	110001	2	3.473678e-08
3	101	110001	3	3.473678e-08
3	101	110010	0	0.000000e+00
3	101	110010	1	0.000000e+00
3	101	110010	2	0.000000e+00
3	101	110010	3	0.000000e+00
3	101	110100	0	0.000000e+00
3	101	110100	1	0.000000e+00
3	101	110100	2	0.000000e+00
3	101	110100	3	0.000000e+00
3	110	001011	0	0.000000e+00
3	110	001011	1	0.000000e+00
3	110	001011	2	0.000000e+00
3	110	001011	3	0.000000e+00
3	110	001101	0	0.000000e+00
3	110	001101	1	0.000000e+00
3	110	001101	2	0.000000e+00
3	110	001101	3	0.000000e+00
3	110	001110	0	1.786966e-07
3	110	001110	1	2.552808e-08
3	110	001110	2	2.552808e-08
3	110	001110	3	2.552808e-08
3	110	010011	0	0.000000e+00
3	110	010011	1	0.000000e+00
3	110	010011	2	0.000000e+00
3	110	010011	3	0.000000e+00
3	110	010101	0	0.000000e+00
3	110	010101	1	0.000000e+00
3	110	010101	2	0.000000e+00
3	110	010101	3	0.000000e+00
3	110	010110	0	1.570544e-07
3	110	010110	1	2.243635e-08
3	110	010110	2	2.243635e-08
3	110	010110	3	2.243635e-08
3	110	011001	0	0.000000e+00
3	110	011001	1	0.000000e+00
3	110	011001	2	0.000000e+00
3	110	011001	3	0.000000e+00
3	110	011010	0	8.725106e-08
3	110	011010	1	1.246444e-08
3	110	011010	2	1.246444e-08
3	110	011010	3	1.246444e-08
3	110	011100	0	6.510885e-08
3	110	011100	1	9.301264e-09
3	110	011100	2	9.301264e-09
3	110	011100	3	9.301264e-09
3	110	100011	0	0.000000e+00
3	110	100011	1	0.000000e+00
3	110	100011	2	0.000000e+00
3	110	100011	3	0.000000e+00
3	110	100101	0	0.000000e+00
3	110	100101	1	0.000000e+00
3	110	100101	2	0.000000e+00
3	110	100101	3	0.000000e+00
3	110	100110	0	2.706418e-07
3	110	100110	1	3.866312e-08
3	110	100110	2	3.866312e-08
3	110	100110	3	3.866312e-08
3	110	101001	0	0.000000e+00
3	110	101001	1	0.000000e+00
3	110	101001	2	0.000000e+00
3	110	101001	3	0.000000e+00
3	110	101010	0	1.790724e-07
3	110	101010	1	2.558177e-08
3	110	101010	2	2.558177e-08
3	110	101010	3	2.558177e-08
3	110	101100	0	8.727990e-08
3	110	101100	1	1.246856e-08
3	110	101100	2	1.246856e-08
3	110	101100	3	1.246856e-08
3	110	110001	0	0.000000e+00
3	110	110001	1	0.000000e+00
3	110	110001	2	0.000000e+00
3	110	110001	3	0.000000e+00
3	110	110010	0	2.706879e-07
3	110	110010	1	3.866969e-08
3	110	110010	2	3.866969e-08
3	110	110010	3	3.866969e-08
3	110	110100	0	1.571293e-07
3	110	110100	1	2.244705e-08
3	110	110100	2	2.244705e-08
3	110	110100	3	2.244705e-08
3	111	001011	0	2.972823e-08
3	111	001011	1	4.246890e-09
3	111	001011	2	4.246890e-09
3	111	001011	3	4.246890e-09
3	111	001101	0	2.932304e-08
3	111	001101	1	4.189005e-09
3	111	001101	2	4.189005e-09
3	111	001101	3	4.189005e-09
3	111	001110	0	0.000000e+00
3	111	001110	1	0.000000e+00
3	111	001110	2	0.000000e+00
3	111	001110	3	0.000000e+00
3	111	010011	0	2.985212e-08
3	111	010011	1	4.264588e-09
3	111	010011	2	4.264588e-09
3	111	010011	3	4.264588e-09
3	111	010101	0	7.680923e-09
3	111	010101	1	1.097275e-09
3	111	010101	2	1.097275e-09
3	111	010101	3	1.097275e-09
3	111	010110	0	0.000000e+00
