# GENew Probability Table: P(e_(i+1)v|...)
# Format: Nu2 binary(y) binary(xi) error_state probability
# error_state: 0=Match, 1=Insertion, 2=Deletion, 3=Substitution
Nu2	binary(y)	binary(xi)	error_state	probability
3	101	011010	2	2.264413e-08
3	101	011010	3	1.015661e-15
3	101	011100	0	0.000000e+00
3	101	011100	1	8.532050e-15
3	101	011100	2	4.774951e-11
3	101	011100	3	2.496502e-10
3	101	100011	0	2.227623e-07
3	101	100011	1	5.084508e-15
3	101	100011	2	4.977742e-08
3	101	100011	3	0.000000e+00
3	101	100101	0	6.624003e-07
3	101	100101	1	0.000000e+00
3	101	100101	2	4.963235e-08
3	101	100101	3	0.000000e+00
3	101	100110	0	0.000000e+00
3	101	100110	1	9.983774e-13
3	101	100110	2	7.221901e-08
3	101	100110	3	1.843713e-12
3	101	101001	0	4.443466e-07
3	101	101001	1	0.000000e+00
3	101	101001	2	4.207145e-06
3	101	101001	3	0.000000e+00
3	101	101010	0	0.000000e+00
3	101	101010	1	9.983774e-13
3	101	101010	2	4.274495e-06
3	101	101010	3	1.015661e-15
3	101	101100	0	0.000000e+00
3	101	101100	1	5.031767e-13
3	101	101100	2	4.229562e-06
3	101	101100	3	4.947964e-10
3	101	110001	0	2.253683e-07
3	101	110001	1	0.000000e+00
3	101	110001	2	1.206507e-10
3	101	110001	3	0.000000e+00
3	101	110010	0	0.000000e+00
3	101	110010	1	9.983774e-13
3	101	110010	2	2.294707e-08
3	101	110010	3	1.015661e-15
3	101	110100	0	0.000000e+00
3	101	110100	1	5.031767e-13
3	101	110100	2	4.500359e-08
3	101	110100	3	4.947964e-10
3	110	001011	0	0.000000e+00
3	110	001011	1	5.010741e-13
3	110	001011	2	2.590028e-11
3	110	001011	3	1.594241e-12
3	110	001101	0	0.000000e+00
3	110	001101	1	5.873393e-15
3	110	001101	2	2.249250e-08
3	110	001101	3	1.842697e-12
3	110	001110	0	2.230130e-07
3	110	001110	1	5.084508e-15
3	110	001110	2	2.552753e-11
3	110	001110	3	0.000000e+00
3	110	010011	0	0.000000e+00
3	110	010011	1	5.010741e-13
3	110	010011	2	2.913745e-09
3	110	010011	3	1.594241e-12
3	110	010101	0	0.000000e+00
3	110	010101	1	5.873393e-15
3	110	010101	2	3.043795e-09
3	110	010101	3	1.842697e-12
3	110	010110	0	2.219914e-07
3	110	010110	1	5.084508e-15
3	110	010110	2	2.883304e-09
3	110	010110	3	0.000000e+00
3	110	011001	0	0.000000e+00
3	110	011001	1	5.873393e-15
3	110	011001	2	2.266129e-08
3	110	011001	3	0.000000e+00
3	110	011010	0	3.931426e-09
3	110	011010	1	5.084508e-15
3	110	011010	2	2.251058e-08
3	110	011010	3	0.000000e+00
3	110	011100	0	2.665016e-09
3	110	011100	1	0.000000e+00
3	110	011100	2	2.277560e-08
3	110	011100	3	0.000000e+00
3	110	100011	0	0.000000e+00
3	110	100011	1	9.957187e-13
3	110	100011	2	2.928361e-09
3	110	100011	3	2.467404e-10
3	110	100101	0	0.000000e+00
3	110	100101	1	5.005180e-13
3	110	100101	2	2.539505e-08
3	110	100101	3	1.842697e-12
3	110	100110	0	4.422398e-07
3	110	100110	1	5.084508e-15
3	110	100110	2	2.928307e-09
3	110	100110	3	0.000000e+00
3	110	101001	0	0.000000e+00
3	110	101001	1	5.005180e-13
3	110	101001	2	2.270770e-08
3	110	101001	3	0.000000e+00
3	110	101010	0	2.230103e-07
3	110	101010	1	5.084508e-15
3	110	101010	2	2.254737e-08
3	110	101010	3	0.000000e+00
3	110	101100	0	3.928796e-09
